id;invoice_no;issued_at;gross_amount;vat_amount;net_amount;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;bar;2025-10-02T17:15:10;11307.44;18003.08;29835.4;2025-10-02T12:31:17;2025-10-02T18:08:56;false;2025-10-03T09:37:28;9e657434-2804-4027-855d-ac10bc54362e
2;yet gadzooks absent;2025-10-02T13:20:58;14385.73;10382.72;21681.44;2025-10-02T20:04:09;2025-10-03T08:20:11;true;2025-10-02T17:34:06;8291aab9-85a3-4095-bb99-b794c562d593
3;rout generally among;2025-10-03T05:11:22;24429.88;27357.98;28872.42;2025-10-02T13:20:35;2025-10-02T12:22:29;false;2025-10-02T22:56:56;ade428ce-e238-4d71-b4ed-2f9516ed930a
4;too;2025-10-03T08:07:53;12025.64;31609.43;22541.71;2025-10-02T21:35:58;2025-10-03T05:55:02;true;2025-10-03T04:17:37;0f3600f9-c184-4157-85b4-e473f2ad64ab
5;until;2025-10-02T11:36:42;29168.87;18383.39;31524.5;2025-10-02T21:06:07;2025-10-03T05:38:43;true;2025-10-02T19:08:31;95c88d67-dbee-495a-9e29-aef25c738d34
6;provided weep well-off;2025-10-02T16:11:10;23433.04;27688.71;32382.01;2025-10-03T01:56:54;2025-10-03T01:48:06;true;2025-10-02T22:24:50;90b879f2-ea12-468b-af23-f45b9ce4e8bc
7;under indeed;2025-10-03T09:12:24;27499.86;11490.64;29918.58;2025-10-02T16:52:21;2025-10-02T20:15:15;true;2025-10-03T03:15:39;78299cf9-b416-4307-b288-df1547980640
8;fluff unbearably;2025-10-02T17:38:57;828.94;4007.25;22618.34;2025-10-03T01:58:10;2025-10-02T22:44:46;true;2025-10-02T18:29:17;5b96edd1-e9e5-4175-a8bd-3b15a57b090a
9;athwart;2025-10-02T22:41:58;9940.66;775.96;29965.44;2025-10-02T11:19:22;2025-10-03T00:48:56;false;2025-10-03T02:52:31;c34b4544-b072-409b-8c4c-c015e41e58aa
10;mockingly out phooey;2025-10-03T01:25:33;11442.69;14585.38;7995.09;2025-10-02T14:47:21;2025-10-02T18:41:55;true;2025-10-02T21:39:40;9b1c68c6-762c-4f70-8824-37c1558630a0
