id;transaction_id;order_ref;method;status;amount;time;gateway_create_date;gateway_note;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;hmph meh;decide paralyse facilitate;BANK_TRANSFER;PAYMENT_SUCCESS_BUT_BOOKING_EXPIRED;17302.12;2025-11-03T20:01:50;bah;consign fall;2025-11-04T01:23:46;2025-11-04T09:35:37;false;2025-11-03T23:48:50;316fee23-f321-4d9f-9467-d654fda53aca
2;oblong while solder;and;BANK_TRANSFER;INITIATED;24416.64;2025-11-03T15:52:06;gosh bonnet;smog as;2025-11-04T08:27:16;2025-11-04T13:54:17;true;2025-11-04T13:07:20;dcbe9784-bb2e-484f-beaa-d18e636fafed
3;fit blacken sign;marksman;CREDIT_CARD;INITIATED;21249.56;2025-11-04T06:17:44;obstruct;deploy unless regarding;2025-11-04T00:15:20;2025-11-04T05:10:08;false;2025-11-03T21:23:02;3293a5f8-0348-4a21-a73c-5d79f73cf4b5
4;towards charter although;yet incidentally curiously;VNPAY;FAILED;17061.49;2025-11-04T00:08:36;harvest phony ;table tusk pleasant;2025-11-03T20:09:15;2025-11-04T07:23:25;true;2025-11-03T17:34:09;c0f2d836-2bdf-4558-9dc3-b1db139e0c33
5;inasmuch;frivolous without;VNPAY;SUCCESS;26975.99;2025-11-03T22:35:44;shakily kosher;inside if;2025-11-03T15:09:38;2025-11-04T03:54:47;false;2025-11-04T06:28:20;8a6348d4-0e69-473c-9deb-25c24d9c6365
6;queasy;really whoa dishonor;BANK_TRANSFER;PROCESSING;10868.72;2025-11-04T03:38:40;amazing whoeve;relative;2025-11-04T01:49:44;2025-11-04T00:16:19;true;2025-11-04T05:13:04;cf0b3fce-7aea-4c08-ad7f-4e840b998265
7;far;boring thorny apropos;CREDIT_CARD;INITIATED;31107.25;2025-11-04T01:15:59;unsightly;fixed shocked;2025-11-04T00:34:04;2025-11-03T14:51:42;true;2025-11-04T10:47:03;ad27d22e-eb7a-4b29-94ef-4716a984d551
8;that;gracefully woefully;VNPAY;PROCESSING;19681.08;2025-11-04T06:37:08;helplessly whe;briskly;2025-11-03T14:54:15;2025-11-04T03:49:26;true;2025-11-04T12:28:39;57495ba5-f9c2-4688-a1e9-92928ce3e7df
9;eventually within gleaming;acidly;CREDIT_CARD;PAYMENT_SUCCESS_BUT_BOOKING_EXPIRED;18996.92;2025-11-04T12:06:24;vice forecast;yin;2025-11-04T03:26:33;2025-11-04T04:53:25;false;2025-11-04T07:14:31;935a4b29-3f30-4bb1-9d38-f0ecf23e89bd
10;plumber insolence;how yippee zowie;BANK_TRANSFER;PAYMENT_SUCCESS_BUT_BOOKING_EXPIRED;9902.92;2025-11-04T09:42:21;gadzooks lest;glimmer and;2025-11-03T19:31:42;2025-11-03T16:34:33;false;2025-11-04T01:35:19;60dd0c39-73ef-4cf4-b31d-a23842f6a74d
