id;provider;payload_hash;received_at;processing_status;created_at;updated_at;is_deleted;deleted_at;deleted_by;payment_transaction_id
1;hamburger redound;even pfft who;2025-10-04T06:35:13;whoa slide pitiful;2025-10-03T12:44:36;2025-10-04T03:20:47;false;2025-10-03T17:40:29;d8091696-9e6a-41b2-9948-3d749cea0855;1
2;unpleasant;vengeful recklessly essay;2025-10-04T03:16:13;pace round;2025-10-04T06:29:26;2025-10-04T00:40:29;true;2025-10-03T17:17:23;547bef95-e924-4091-8af0-43869cd2e88c;2
3;thoroughly pine govern;ornery um;2025-10-03T14:36:54;dearest smoke monthly;2025-10-04T06:50:58;2025-10-04T08:51:44;false;2025-10-03T17:57:38;c130dcd5-b396-41ff-8e26-b45dafa7bc07;3
4;zowie what;minus lazily fooey;2025-10-03T19:51:54;reluctantly but;2025-10-03T17:31:35;2025-10-04T03:21:18;true;2025-10-03T12:18:04;5400943a-ed99-4477-8dfc-72200bc0abe3;4
5;fence bestride;attest censor;2025-10-03T23:10:22;unruly bobble;2025-10-03T22:18:54;2025-10-04T05:44:50;false;2025-10-04T02:35:28;3725a4b4-e42c-4276-8510-4082c8bd7146;5
6;yum;toward cinch;2025-10-04T05:32:17;or;2025-10-03T21:37:56;2025-10-03T17:13:12;true;2025-10-03T13:24:16;dbdb0c09-41dc-4243-9076-059b5393ed52;6
7;yum;amongst;2025-10-04T09:14:35;untimely;2025-10-03T13:53:48;2025-10-04T10:56:28;true;2025-10-03T21:39:48;1dfd330b-87c2-44c3-a699-9a43e5743fba;7
8;ugh;about yippee unit;2025-10-04T09:25:16;tributary;2025-10-03T19:44:01;2025-10-04T05:19:02;false;2025-10-03T12:26:30;a576524c-10a3-4bf3-ae3b-12e2e4ac4891;8
9;ew while whoa;when than yum;2025-10-03T11:46:02;yippee very;2025-10-03T23:57:27;2025-10-03T16:54:27;true;2025-10-04T07:53:22;d83d188b-f80e-4554-a7d7-801538579665;9
10;bah nor;metallic;2025-10-04T05:13:25;worth;2025-10-03T18:35:57;2025-10-03T12:10:36;false;2025-10-03T11:11:25;c490104a-e227-40fb-9346-6e407d4cf587;10
