id;ticket_code;price;qr_code;time_from;time_to;checked_in;status;exchange_status;refund_status;exchange_reason;refund_reason;exchange_requested_at;exchange_completed_at;refund_requested_at;refund_completed_at;refund_amount;refund_transaction_id;trip_id;route_id;seat_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;booking_id
1;apostrophize smooth busy;28546.06;ha schedule nudge;2025-11-04T03:29:55;2025-11-03T16:45:02;false;REFUND_FAILED;EXCHANGE_REQUESTED;REFUND_COMPLETED;spirit;unnecessarily ha bakeware;2025-11-04T13:55:50;2025-11-04T07:12:24;2025-11-03T17:46:51;2025-11-03T19:55:34;1568.64;unhealthy;25548;1682;16842;2025-11-03T20:03:04;2025-11-03T21:12:11;false;2025-11-04T14:05:42;8bb71c20-e4c7-49ab-9bde-a9c96789ee4e;1
2;stuff gerbil provided;29191.93;hungry astride;2025-11-03T20:02:19;2025-11-04T02:47:18;false;EXCHANGE_REJECTED;EXCHANGE_COMPLETED;REFUND_FAILED;mobilise bog;anti ick;2025-11-03T21:09:18;2025-11-03T14:53:53;2025-11-04T10:32:33;2025-11-04T03:23:54;28982.03;versus gosh;3051;16002;19398;2025-11-03T18:30:55;2025-11-04T08:32:16;false;2025-11-03T20:05:49;b3601804-523d-4e87-9a35-280b98533e49;2
3;ashamed regarding;279.68;guard pish next;2025-11-04T01:16:58;2025-11-04T10:23:04;true;REFUND_REQUESTED;EXCHANGE_APPROVED;REFUND_REJECTED;whether of boo;ouch ha concerning;2025-11-04T11:21:10;2025-11-03T17:21:00;2025-11-03T22:28:41;2025-11-03T17:31:54;15770.19;bookend chapel;27996;19614;20415;2025-11-03T15:37:57;2025-11-03T19:54:10;false;2025-11-03T17:39:15;a95d54aa-7908-4346-8259-0fd80581fe83;3
4;ah furlough;22881.97;giving;2025-11-04T12:11:11;2025-11-03T22:57:13;true;EXCHANGE_COMPLETED;EXCHANGE_COMPLETED;REFUND_REJECTED;motivate happy-go-lucky despite;strident trash;2025-11-04T06:52:26;2025-11-04T04:54:58;2025-11-04T09:46:16;2025-11-03T20:08:50;2449.31;nifty;23683;21271;25466;2025-11-03T15:32:08;2025-11-03T18:04:46;true;2025-11-03T17:19:17;83f65bf6-25a7-4ab2-abb6-881e9ba253cc;4
5;dally vaguely;19940.34;plagiarise dress inventory;2025-11-03T15:34:03;2025-11-03T17:32:20;true;CANCELLED;EXCHANGE_REQUESTED;REFUND_REQUESTED;for;skeleton ew willfully;2025-11-04T12:07:32;2025-11-03T22:23:06;2025-11-04T14:29:50;2025-11-04T11:01:12;30012.43;till fast;29796;6032;7873;2025-11-04T07:40:13;2025-11-03T18:45:56;false;2025-11-04T06:45:15;eb272271-1642-4ed5-a298-43f0ec22af30;5
6;fuzzy;20207.32;brown;2025-11-04T02:24:55;2025-11-03T15:24:42;true;EXCHANGE_REQUESTED;EXCHANGE_REQUESTED;REFUND_REJECTED;live;athwart;2025-11-03T23:30:47;2025-11-04T05:07:28;2025-11-04T07:34:25;2025-11-04T00:58:46;14334.15;up through circa;32584;6397;15986;2025-11-04T02:03:19;2025-11-04T04:25:34;true;2025-11-04T13:17:39;9eba184a-045c-46f8-9bd4-a8d5babcfd83;6
7;plastic restfully;13402.22;even;2025-11-04T01:56:39;2025-11-04T10:14:53;false;EXPIRED;EXCHANGE_APPROVED;REFUND_FAILED;gadzooks annually;reboot;2025-11-04T06:03:19;2025-11-04T04:06:15;2025-11-04T09:27:17;2025-11-03T15:15:19;25568.63;indeed;23847;3165;6399;2025-11-03T20:51:30;2025-11-04T03:02:21;true;2025-11-04T08:40:54;45b290a0-9630-4d37-9e50-eb0942b15e38;7
8;cleverly finally boldly;2504.15;towards until qualified;2025-11-04T05:48:54;2025-11-03T20:11:11;false;REFUND_COMPLETED;EXCHANGE_REJECTED;REFUND_APPROVED;underplay quarrelsomely;duh;2025-11-04T03:50:12;2025-11-03T20:27:37;2025-11-04T02:38:27;2025-11-04T11:30:37;27785.37;outrageous reiterate;26860;22880;19144;2025-11-04T10:24:27;2025-11-03T20:46:50;false;2025-11-03T22:44:25;ac0454e0-6097-4ee9-8ddb-da6484d0c69a;8
9;ew concerning yahoo;17496.35;bobble;2025-11-04T00:20:29;2025-11-03T23:31:46;true;EXCHANGE_REJECTED;EXCHANGE_COMPLETED;REFUND_FAILED;machine;arraign like;2025-11-04T12:22:45;2025-11-04T03:09:27;2025-11-04T04:42:13;2025-11-04T09:03:32;5943.38;endow denitrify;21665;3061;21982;2025-11-03T20:22:43;2025-11-03T20:05:37;true;2025-11-04T05:14:52;1a125b0b-a1f4-45b7-a5f6-bfe6b38a0bc6;9
10;gah yuck harangue;25910.24;oddly;2025-11-04T11:50:19;2025-11-04T03:30:26;true;EXCHANGE_REQUESTED;EXCHANGE_COMPLETED;REFUND_REQUESTED;gracious;molasses airport generally;2025-11-04T07:05:39;2025-11-04T05:27:11;2025-11-03T18:22:13;2025-11-03T21:30:47;29112.14;limited;22805;26194;10906;2025-11-03T20:04:39;2025-11-04T11:57:00;false;2025-11-03T22:27:24;313a92b4-a143-486c-b7ab-34a126d62b20;10
