id;buy_n;get_m;created_at;updated_at;is_deleted;deleted_at;deleted_by;promotion_id
1;16188;30209;2025-09-22T14:28:51;2025-09-22T16:14:41;true;2025-09-23T05:03:47;08ebb267-df3b-440c-a01e-2816771224c5;1
2;24504;10271;2025-09-22T17:33:10;2025-09-22T12:25:56;true;2025-09-22T22:51:40;8e6848f8-29c8-420d-bbac-67dce4741d71;2
3;8912;23520;2025-09-23T10:36:50;2025-09-22T20:26:37;true;2025-09-22T14:19:54;09d7067c-c741-45f3-a276-b6cf80005987;3
4;8079;8501;2025-09-22T20:08:24;2025-09-23T07:35:52;true;2025-09-22T20:17:12;31042e57-0a18-4793-a91c-2f1a1433079c;4
5;11741;17205;2025-09-22T22:08:53;2025-09-22T13:06:19;true;2025-09-22T23:17:23;222c2caa-aa26-4514-a2e9-065bc53ce0b6;5
6;13688;20084;2025-09-23T04:39:34;2025-09-22T19:11:03;false;2025-09-23T00:48:58;bda2303c-9947-4eb7-8246-dfe66fe0245b;6
7;23485;24333;2025-09-23T11:02:48;2025-09-23T02:33:13;true;2025-09-22T21:49:01;6a0303b7-1328-4ba5-989f-e58b3cd5928d;7
8;9790;22046;2025-09-23T04:26:28;2025-09-22T17:42:56;false;2025-09-22T17:02:35;966775de-118a-4663-b011-8b19fa3b8e32;8
9;18847;20570;2025-09-22T17:10:17;2025-09-23T12:01:15;false;2025-09-23T12:00:28;512dab0d-f0e3-4de7-83a5-902a87ae443b;9
10;30259;6716;2025-09-23T04:43:55;2025-09-22T16:21:16;true;2025-09-23T10:32:56;4d1bb023-6711-4f4c-977e-34e8e5f80560;10
