id;created_at;updated_at;is_deleted;deleted_at;deleted_by;promotion_id
1;2025-09-22T15:13:43;2025-09-23T09:16:41;false;2025-09-23T01:13:35;1a40343d-4eb4-41b3-9a83-07318fbb810a;1
2;2025-09-22T15:49:21;2025-09-23T01:50:05;false;2025-09-23T05:45:37;12365975-f7fd-47f8-b481-8180003cd2c1;2
3;2025-09-22T14:34:07;2025-09-22T19:32:46;true;2025-09-23T05:31:50;611e7601-a8a1-4775-9cb8-5be3495baeb5;3
4;2025-09-23T12:12:57;2025-09-23T13:12:19;false;2025-09-23T09:32:38;c61bc62f-550b-401b-8681-2e3a9c4de536;4
5;2025-09-22T15:20:01;2025-09-22T14:30:40;true;2025-09-23T13:53:40;5adc6625-c1d0-4c8e-9597-013610d7a3fd;5
6;2025-09-23T07:47:09;2025-09-23T12:00:22;true;2025-09-22T16:10:27;8b1c1aac-316c-48c4-a508-f705fb18e821;6
7;2025-09-22T14:49:18;2025-09-23T07:51:32;false;2025-09-23T08:26:04;b289a012-60aa-44b6-b447-14f8509264b4;7
8;2025-09-23T10:21:14;2025-09-23T02:22:35;true;2025-09-22T15:25:57;7020f11c-145b-4899-80a0-afb8394b815e;8
9;2025-09-22T16:47:17;2025-09-23T02:33:44;true;2025-09-23T10:15:31;1fb75efc-fff8-4bf0-b56a-7754a9899a5b;9
10;2025-09-22T16:34:21;2025-09-22T23:03:36;true;2025-09-22T20:51:08;e846e4bf-88c9-47a9-81ba-21a5959dad9b;10
