id;created_at;updated_at;is_deleted;deleted_at;deleted_by;promotion_id
1;2025-09-21T16:52:39;2025-09-21T12:17:39;false;2025-09-22T05:19:27;d03a84f3-a29b-4265-8feb-e39c1a6d55d5;1
2;2025-09-21T13:38:02;2025-09-21T16:29:27;true;2025-09-21T19:45:20;388bb29f-6241-431b-98fc-4d9e86ba64f6;2
3;2025-09-22T01:06:21;2025-09-22T02:12:32;false;2025-09-22T07:21:49;1aeca93f-5b1a-49e3-8b52-3207e12ac648;3
4;2025-09-21T23:35:07;2025-09-21T15:19:40;false;2025-09-21T19:11:51;5f9735c4-ff20-48da-814c-e9d64b67cdf8;4
5;2025-09-22T07:55:52;2025-09-22T10:16:20;true;2025-09-22T09:27:54;294899d0-be87-447b-b6a9-4002707ea59a;5
6;2025-09-22T11:11:39;2025-09-21T13:48:12;false;2025-09-21T15:40:17;b320a90c-63b0-4285-aed4-b6d538aa15eb;6
7;2025-09-21T16:29:05;2025-09-22T02:19:44;false;2025-09-21T12:33:26;d06140c4-cef3-4f18-99a2-0d8295c60526;7
8;2025-09-21T22:22:49;2025-09-22T09:47:07;true;2025-09-21T18:14:12;72535640-7616-4dae-a430-f8065a5cd009;8
9;2025-09-22T01:49:49;2025-09-22T04:28:51;false;2025-09-21T14:50:28;67bbb18c-e019-4500-a92d-219eadb890f7;9
10;2025-09-21T21:25:42;2025-09-21T14:05:25;true;2025-09-22T06:55:12;163ea08e-d60d-4fc7-a0a0-45092e438ccf;10
