id;street_address;latitude;longitude;created_at;updated_at;is_deleted;deleted_at;deleted_by;ward_id
1;short-term yowza concerning;2105.15;8413.57;2025-09-22T18:36:43;2025-09-23T11:50:24;true;2025-09-22T13:59:58;b8f2b449-17e1-4ac2-8493-491a05e4e5a7;1
2;admonish gestate pleasing;17289.79;24742.59;2025-09-22T18:29:03;2025-09-23T04:12:11;true;2025-09-22T17:19:20;20063f53-2b16-4280-a2a7-d660356a5b75;2
3;aw pfft;24798.97;3570.96;2025-09-23T05:22:02;2025-09-23T00:32:22;false;2025-09-22T16:29:09;cf9ba404-664d-4754-97c7-3392461e48d7;3
4;elver waist;8358.86;29693.48;2025-09-23T02:22:06;2025-09-22T18:23:37;true;2025-09-22T18:31:07;3b6a6000-bbec-4646-b853-1a2cf55188b2;4
5;young inasmuch solidly;5035.01;11357.65;2025-09-23T12:09:24;2025-09-22T18:00:21;true;2025-09-23T13:22:22;fcf8f873-fa60-482d-9442-e3703c6ca85a;5
6;less;4408.27;6393.17;2025-09-23T11:23:32;2025-09-23T11:08:49;true;2025-09-22T22:08:29;ed6c5283-a177-47fe-9678-2a1743af7e2d;6
7;whoever;19211.58;19671.98;2025-09-22T17:17:17;2025-09-23T03:03:26;false;2025-09-23T11:13:54;ffea2673-9dca-401d-90c6-1ba748dde9f8;7
8;convalesce amendment aside;29213.18;6169.82;2025-09-22T18:47:16;2025-09-23T06:00:51;true;2025-09-23T00:22:35;77aa885e-863c-4ee0-9a9a-90fb3494e893;8
9;annually;19234.22;5195.31;2025-09-22T21:02:09;2025-09-23T09:43:20;true;2025-09-22T20:34:07;017a99e0-2ed0-42f0-bf34-5263cdf1f2cf;9
10;tomb;5578.41;7881.83;2025-09-23T04:39:22;2025-09-22T22:09:56;true;2025-09-22T14:33:42;bf637a88-1c73-439f-a777-c0950e0892c6;10
