id;created_at;updated_at;is_deleted;deleted_at;deleted_by;staff_id
1;2025-09-30T20:04:27;2025-10-01T06:03:38;true;2025-09-30T12:37:30;f40a48b3-50ca-4d92-8b79-d037d1f036b2;1
2;2025-10-01T05:23:24;2025-09-30T21:16:12;false;2025-09-30T16:23:33;c15e119d-e642-4e04-8f5e-b906fcea8ea9;2
3;2025-09-30T13:51:04;2025-09-30T18:29:56;true;2025-09-30T15:53:32;d17a9b7c-e915-45a7-ba3f-fe8ecea3d103;3
4;2025-10-01T06:12:27;2025-10-01T02:13:52;false;2025-09-30T17:39:39;e3f8f870-4f4b-4460-9ce3-1bac798af346;4
5;2025-09-30T14:31:24;2025-09-30T23:33:23;true;2025-09-30T22:05:37;8739dcd5-e816-47fc-bd8f-f614b684f2f6;5
6;2025-10-01T04:12:10;2025-10-01T00:56:24;false;2025-09-30T08:04:22;26838a33-fb48-431f-82ff-4409eb7d6902;6
7;2025-09-30T22:28:22;2025-09-30T09:07:28;true;2025-10-01T05:49:55;8d06afe1-6876-4a58-bd2b-b33d20957bff;7
8;2025-09-30T07:45:58;2025-09-30T18:23:32;false;2025-09-30T12:01:05;05c78cf1-9980-4601-8672-d336c85ede44;8
9;2025-10-01T03:01:52;2025-09-30T20:26:35;true;2025-10-01T06:36:25;d842adea-349f-4050-bca8-833fdf897278;9
10;2025-09-30T13:20:50;2025-10-01T06:14:11;false;2025-09-30T18:16:53;3fc4c55d-69ad-4025-a3de-6d94399c2a50;10
