id;license_class;years_experience;created_at;updated_at;is_deleted;deleted_at;deleted_by;staff_id
1;irritably well-made before;31072;2025-09-28T17:25:03;2025-09-28T16:11:50;true;2025-09-28T18:43:08;5c279d65-5226-4941-b4c4-bcc163cc4415;1
2;enormously costume bashfully;32011;2025-09-28T08:09:18;2025-09-28T16:31:32;true;2025-09-28T12:25:52;590d1a19-fc41-4b90-a4d1-38febe41e8e1;2
3;and;21179;2025-09-28T22:16:58;2025-09-28T21:39:45;true;2025-09-28T10:14:33;53be4da6-bdec-4401-b3cb-b74c99d57b06;3
4;what;2936;2025-09-28T11:59:38;2025-09-28T23:39:22;false;2025-09-28T15:49:37;b6d841b5-69d5-42ca-99d7-2f2554f77fe0;4
5;unfit amid worth;23417;2025-09-28T21:41:20;2025-09-29T01:21:50;true;2025-09-28T16:20:50;3e7e5fa5-4fed-4c2d-a2ad-d3c99abf820b;5
6;however curiously;12512;2025-09-28T19:44:59;2025-09-28T18:43:14;false;2025-09-28T14:10:45;9fd0998a-0fc4-436a-a868-5c0bacb50aef;6
7;informal;20155;2025-09-28T12:58:07;2025-09-28T09:36:42;false;2025-09-28T12:00:28;fa263fcb-5daf-476b-86a6-1d751aa92d41;7
8;brush kiss up;14765;2025-09-28T17:35:17;2025-09-28T12:36:11;false;2025-09-28T09:43:05;c180f12b-f200-4edd-ae3b-b9a70e1664f6;8
9;minor vamoose airmail;8644;2025-09-29T00:18:06;2025-09-28T07:10:14;false;2025-09-28T09:26:55;b0239f44-92f3-40a3-bef5-d6af9ef2a84b;9
10;masterpiece;17359;2025-09-29T05:20:24;2025-09-28T11:08:55;false;2025-09-28T15:00:51;a0bc49b0-828d-4a31-9f35-cf2c5ee0bcd6;10
