id;floor_no;price_factor_floor;created_at;updated_at;is_deleted;deleted_at;deleted_by;seat_map_id
1;14944;31345.77;2025-09-22T10:51:43;2025-09-22T01:18:12;true;2025-09-22T08:34:46;e382e3c7-0b2e-423e-993e-4852c3c1bc04;1
2;27377;17910.92;2025-09-22T05:45:20;2025-09-22T11:20:00;false;2025-09-22T01:32:40;1a7b251b-04af-4d8f-bccd-519259389965;2
3;10861;32753.26;2025-09-21T23:15:13;2025-09-21T20:19:31;false;2025-09-21T13:09:44;84aece73-d03d-4605-b7fe-6bb017cf15af;3
4;32531;28419.69;2025-09-21T13:04:01;2025-09-21T17:15:13;false;2025-09-21T15:20:40;60bfbb20-1468-41b2-9030-960f4765f0de;4
5;2260;12579.19;2025-09-22T10:56:49;2025-09-22T03:41:49;true;2025-09-22T00:58:45;bc08e95b-64ac-496f-9b8f-48e696865069;5
6;2384;25907.37;2025-09-22T11:06:51;2025-09-22T11:09:24;false;2025-09-22T09:36:18;e9c3baba-d6e2-4440-84ff-6ab566b9e6cf;6
7;19872;31526.3;2025-09-22T10:41:26;2025-09-22T01:37:38;false;2025-09-22T04:18:48;74c9fdde-5045-4c06-9103-45ceb8d56475;7
8;12766;8702.87;2025-09-22T11:28:31;2025-09-21T14:27:03;false;2025-09-22T04:49:40;3a365d8a-fc79-40fd-b554-77d9c49a64c5;8
9;11004;31063.14;2025-09-21T19:05:03;2025-09-21T20:37:11;false;2025-09-21T14:15:35;aa9c1e2d-8343-435f-8f5a-228cccd5163c;9
10;16255;9360.96;2025-09-21T23:18:18;2025-09-21T18:01:05;false;2025-09-22T10:24:17;ac403622-b554-4bd1-9a7d-241a28d9b1f4;10
