id;vehicle_type;seat_type;occasion_type;base_fare;vehicle_factor;floor_factor;seat_factor;occasion_factor;final_price;valid_from;valid_to;created_at;updated_at;is_deleted;deleted_at;deleted_by;route_id
1;LIMOUSINE;NORMAL;NORMAL;22387.04;21731.37;7762.99;26188.6;32218.85;10602.94;2025-11-16;2025-11-16;2025-11-16T18:04:54;2025-11-17T01:44:12;false;2025-11-17T03:43:14;af10da4d-fb41-40b8-8aa9-8f8856e002aa;1
2;LIMOUSINE;NORMAL;WEEKEND;9371.47;26362.18;32397.9;2129.8;11731.12;22143.04;2025-11-17;2025-11-16;2025-11-16T21:42:33;2025-11-17T08:00:39;false;2025-11-17T09:44:40;f447bb66-2734-4693-b97e-fe8f3a10ee62;2
3;LIMOUSINE;SLEEPER;OFF_PEAK;10203.46;5077.44;2225.29;19915.26;213.08;1591.49;2025-11-16;2025-11-17;2025-11-16T12:33:14;2025-11-17T03:03:13;true;2025-11-17T09:43:51;21e68a9c-5cca-4527-873e-32395dd8f9d7;3
4;LIMOUSINE;NORMAL;HOLIDAY;2300.88;28823.09;12543.29;16762.7;25675.95;1322.46;2025-11-17;2025-11-17;2025-11-16T19:41:37;2025-11-17T02:06:16;false;2025-11-16T20:29:28;5d9f2a96-2cfc-4c39-91d0-c13405511d8a;4
5;STANDARD_BUS_NORMAL;NORMAL;PEAK;8962.24;20156.71;25903.92;18196.73;18420.11;26491.18;2025-11-16;2025-11-16;2025-11-16T17:11:08;2025-11-17T09:37:51;false;2025-11-17T06:37:32;0fa37aa9-1896-4bd6-abd5-9d899a56e112;5
6;LIMOUSINE;NORMAL;TET;15748.37;24778.37;9902.43;21977.46;30932.14;27226.11;2025-11-17;2025-11-16;2025-11-16T22:13:47;2025-11-17T01:44:16;true;2025-11-17T06:03:18;67b13f85-9a06-4fc7-8f53-b3d2fd5d7bfb;6
7;STANDARD_BUS_NORMAL;SLEEPER;PEAK;14742.3;9191.7;19153.35;25655.18;12332.98;14017.55;2025-11-17;2025-11-16;2025-11-16T19:54:34;2025-11-17T06:59:30;true;2025-11-17T01:49:30;25df007a-79ac-4177-9013-9463be35bbef;7
8;STANDARD_BUS_NORMAL;NORMAL;PEAK;13028.62;28838.44;9914.5;19925.5;12735.37;11460.21;2025-11-17;2025-11-16;2025-11-17T08:15:28;2025-11-16T21:12:58;false;2025-11-17T00:44:11;4af344e4-342e-4281-ad08-2b48f51bf9b4;8
9;STANDARD_BUS_NORMAL;NORMAL;NORMAL;20415.55;13638.84;10528.41;23191.34;32697.41;31116.86;2025-11-17;2025-11-17;2025-11-17T05:09:45;2025-11-17T03:30:58;false;2025-11-17T01:33:52;ecd5bc24-fc17-4b76-b05b-3616a7e6c1a0;9
10;LIMOUSINE;NORMAL;PEAK;5433.6;22207.6;5790.9;26375.88;32237.66;7171.25;2025-11-16;2025-11-17;2025-11-17T11:25:53;2025-11-17T02:01:45;true;2025-11-16T20:47:02;1076effa-d7f4-41ef-9c9b-08ec4129fd22;10
