id;route_code;distance_km;base_fare;created_at;updated_at;is_deleted;deleted_at;deleted_by;origin_id;destination_id
1;into psst;4122.46;6794.75;2025-11-16T14:44:33;2025-11-17T04:27:17;true;2025-11-16T20:51:35;c86508a7-0bd1-4fea-9c14-982cb7706802;1;1
2;aha;4939.27;6583.61;2025-11-17T00:23:16;2025-11-16T16:31:08;true;2025-11-17T07:45:10;9b64fc3a-e559-4545-8410-180ce04ed6a4;2;2
3;in;18155.33;26418.94;2025-11-17T08:32:11;2025-11-16T23:50:29;true;2025-11-17T09:24:48;0200a3ab-1d90-45bc-9146-341db27c46e2;3;3
4;scale so;7625.41;22590.82;2025-11-16T12:37:29;2025-11-16T16:29:21;false;2025-11-16T14:27:41;c99876bc-7532-4db3-884e-6b34916095a2;4;4
5;notwithstanding;6763.46;11386.72;2025-11-16T21:10:30;2025-11-17T06:26:57;false;2025-11-16T20:16:53;64e53916-dc6f-4028-90e9-99d6bcaec1ae;5;5
6;ultimately brown;4219.45;30555.13;2025-11-16T12:47:28;2025-11-16T23:54:56;true;2025-11-16T15:58:29;5806084c-21e0-4e8b-8f01-52f509781b0d;6;6
7;anti;24489.5;29654.67;2025-11-16T18:11:11;2025-11-16T17:52:48;false;2025-11-17T09:08:39;3aa0f793-98d4-460d-a3ee-b28639f8974f;7;7
8;meanwhile enthusiastically;29705.95;5012.84;2025-11-17T09:19:10;2025-11-17T10:54:15;false;2025-11-17T05:51:24;071f107e-e805-4c8b-bc31-82da3e31d7ac;8;8
9;whose;27619.64;14076.88;2025-11-17T07:53:57;2025-11-16T20:43:58;true;2025-11-17T06:23:11;f35a2629-4c61-4887-bfbc-6f6cfc39d77e;9;9
10;phew for brush;2714.44;9204.03;2025-11-16T14:27:02;2025-11-16T21:14:53;false;2025-11-16T21:46:08;006e4591-b018-4aad-8e68-9849451c0e98;10;10
