id;slot_code;departure_time;arrival_time;buffer_minutes;sequence;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;schedule_id
1;ah sticky;11:59:00;13:03:00;8912;8562;false;2025-11-17T11:24:19;2025-11-16T14:19:20;false;2025-11-17T09:43:04;94a3dad0-22bd-4167-a2e1-5437f9efe8ea;1
2;finished;07:41:00;15:21:00;14188;8163;false;2025-11-16T18:58:13;2025-11-16T13:50:56;false;2025-11-16T12:23:47;755ee781-ed1b-4a1b-a542-63436310d35a;2
3;pro frenetically;16:56:00;20:57:00;13412;13507;false;2025-11-17T00:47:38;2025-11-17T05:17:11;false;2025-11-16T18:29:05;9ed1c8f5-4bd7-4501-a0c1-203e1ba30e27;3
4;limited respray orange;00:24:00;05:28:00;3077;10357;true;2025-11-17T03:34:17;2025-11-16T12:56:31;true;2025-11-16T17:40:23;dd6a6f4e-08b0-4d8e-aaa9-8cca8d725038;4
5;upliftingly;01:05:00;15:00:00;11304;16863;false;2025-11-16T23:47:52;2025-11-16T22:54:53;false;2025-11-17T05:00:32;0845df88-02f5-422d-8e09-0e1a60b9632f;5
6;fiercely minor;01:52:00;06:25:00;18137;13938;true;2025-11-16T23:56:15;2025-11-17T04:52:24;true;2025-11-16T19:54:54;dd8fe463-b37a-4663-8d24-fc92a8dbd95f;6
7;absent indeed downshift;01:04:00;08:35:00;14518;21775;false;2025-11-16T22:05:03;2025-11-16T21:24:44;true;2025-11-17T07:05:12;ddb9a500-10fc-43b6-9b16-958c6c48a418;7
8;incidentally;13:13:00;13:52:00;11421;25451;true;2025-11-16T16:29:49;2025-11-17T04:57:19;false;2025-11-16T16:43:47;104f4cc1-96c7-476c-8026-65b28bf36ed8;8
9;or intent provided;11:24:00;01:34:00;8565;22696;false;2025-11-17T00:56:34;2025-11-17T06:00:25;false;2025-11-17T07:42:43;7c1cf0b0-d5a7-40b6-a9d0-cefb0a2e1ac1;9
10;deeply;05:22:00;01:36:00;13931;28441;false;2025-11-16T20:03:28;2025-11-17T05:28:43;false;2025-11-16T12:06:12;95e15cf8-3a25-44e5-9b3a-dd85ad42e908;10
