id;seat_no;row_no;col_no;price_factor;type;created_at;updated_at;is_deleted;deleted_at;deleted_by;floor_id
1;hefty;31024;1168;25971.13;SLEEPER;2025-10-06T15:23:15;2025-10-07T08:18:08;false;2025-10-06T22:44:58;dfd1cfd6-d994-4c1b-8283-35ba2b3b4bd3;1
2;kiddingly includ;29564;28781;30319.88;SLEEPER;2025-10-07T05:05:41;2025-10-07T11:10:17;true;2025-10-07T06:30:02;12ab39d8-435f-45d5-84a6-79b524d0f7ce;2
3;where obnoxiousl;8383;28385;8588.68;SLEEPER;2025-10-07T06:11:51;2025-10-07T04:59:33;true;2025-10-06T21:31:20;299c4568-2348-4bd5-a0cc-e7a4e0a8826a;3
4;while;13584;10041;10542.97;SLEEPER;2025-10-07T07:04:22;2025-10-06T11:45:38;false;2025-10-07T04:56:29;d6bd44dc-c1e8-4f13-a610-8bdea15fced9;4
5;acidly barring b;22790;4412;18375.31;NORMAL;2025-10-07T06:07:39;2025-10-06T20:14:36;false;2025-10-06T18:31:01;3fc14d3a-1bc5-48cc-acd5-52e27cac2725;5
6;oof;32304;102;18503.14;SLEEPER;2025-10-07T05:31:12;2025-10-07T01:27:00;false;2025-10-07T09:22:29;bd33673b-0df0-4d75-8a1f-65aa5a560745;6
7;brr yippee oppos;11341;24646;15920.49;SLEEPER;2025-10-06T21:56:32;2025-10-07T03:59:15;true;2025-10-06T19:35:18;e42bd1e5-5039-4079-8016-ae941a92c7e2;7
8;upward colligate;17470;32621;26448.33;SLEEPER;2025-10-06T16:49:48;2025-10-06T17:23:24;false;2025-10-06T16:57:47;f5dc1abe-426c-40f5-88c8-4f66a7a29f38;8
9;elegantly rise;18186;20950;32443;NORMAL;2025-10-06T13:27:02;2025-10-07T08:08:40;false;2025-10-07T08:49:35;a7679f20-03ac-414b-8d87-ea9c2a0d5dad;9
10;gust blowgun;8453;17865;31919.12;SLEEPER;2025-10-07T06:39:21;2025-10-06T22:07:56;true;2025-10-06T18:57:51;59626aae-6406-4903-82df-b8ac77ab6f3b;10
