id;seat_no;user_id;status;expires_at;idempotency_key;booking_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;trip_id
1;before exempt;477;COMMITTED;2025-11-16T12:58:08;wearily valiantly colon;14479;2025-11-17T09:38:52;2025-11-16T16:15:24;false;2025-11-16T20:08:09;26e038d4-06b7-434c-9816-c3296a3a9851;1
2;floss;9475;COMMITTED;2025-11-17T07:46:00;lumpy formal hunt;17644;2025-11-17T04:34:01;2025-11-16T23:04:05;true;2025-11-16T15:48:33;cfbcd2f3-116b-45c3-a198-24a2dd4cf262;2
3;oval boo segrega;8998;HELD;2025-11-17T01:06:26;almost oily;30477;2025-11-17T10:53:51;2025-11-16T16:31:48;false;2025-11-16T15:01:23;e4f56e02-701c-42e9-8304-ce813cb636d1;3
4;woot;22343;EXPIRED;2025-11-17T03:37:32;anenst as;32110;2025-11-16T12:37:26;2025-11-16T14:19:02;false;2025-11-17T05:38:24;661ec544-d3c8-4a52-a518-57417fe3af25;4
5;which;10478;COMMITTED;2025-11-16T17:39:30;after decode conclude;32168;2025-11-16T18:49:25;2025-11-16T14:07:55;true;2025-11-17T08:07:40;a6ecc623-d4f4-45d7-834c-9ba9b8d6f8a5;5
6;super;7594;COMMITTED;2025-11-17T04:20:04;against;17631;2025-11-17T08:01:47;2025-11-17T08:44:26;true;2025-11-16T22:09:46;7818ea78-4308-46df-a9f8-524be2e9bb64;6
7;grass juggernaut;13897;EXPIRED;2025-11-16T20:36:05;drat dead ready;29431;2025-11-17T08:26:59;2025-11-17T07:12:25;false;2025-11-16T18:10:49;7f5d249f-b8a1-4c40-9dcb-2c9e45f48813;7
8;stunt aged likew;27056;HELD;2025-11-17T03:19:52;on;31081;2025-11-17T09:39:59;2025-11-16T23:32:07;true;2025-11-17T03:15:08;ee00cbaa-4277-4f17-a550-84a32818a58f;8
9;after than;4175;EXPIRED;2025-11-16T13:58:29;amid;26344;2025-11-16T12:38:58;2025-11-17T09:12:32;false;2025-11-17T08:21:39;88e8a6d5-f74d-468a-88f6-37a7c13a301d;9
10;paintwork wherev;2242;HELD;2025-11-16T19:35:48;defensive omelet;17939;2025-11-16T17:00:29;2025-11-16T13:36:19;true;2025-11-16T12:50:30;b6c01f88-b662-43e7-8694-522c13cfbebb;10
