id;name;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;with onto huzzah;2025-09-28T04:14:32;2025-09-27T19:51:52;true;2025-09-28T04:06:06;8386d7a2-9df8-4035-a50e-266078da8c14
2;coolly yet deceivingly;2025-09-28T04:25:06;2025-09-27T10:22:55;false;2025-09-27T23:04:49;10b69963-50e0-4af5-b91f-e2d2f07aa60a
3;instead eminent reschedule;2025-09-27T10:11:16;2025-09-27T08:35:18;true;2025-09-28T03:54:31;d86e2f51-afbe-4d34-9714-19c016d8dfdf
4;redraw procrastinate convoke;2025-09-27T17:30:16;2025-09-27T23:03:14;true;2025-09-27T22:30:50;89febb52-2241-4693-b550-b06d21cf616b
5;worth;2025-09-27T18:28:12;2025-09-28T03:51:48;false;2025-09-28T01:48:35;45ff5c79-6edc-4c4e-8a6b-b56c89492e7c
6;powerful shinny;2025-09-27T20:01:56;2025-09-28T01:34:16;false;2025-09-27T15:05:56;310c24d4-9b70-48a7-928c-15ceda1c83d0
7;ick;2025-09-27T09:53:31;2025-09-27T18:47:26;true;2025-09-27T11:57:32;abff6077-8538-44a3-84d4-5dc767d9ae95
8;forswear dilate kowtow;2025-09-27T16:38:54;2025-09-27T10:03:46;false;2025-09-27T22:50:29;1b7ad5e3-ad06-4566-be73-3f1dfc5b28f1
9;since zowie;2025-09-27T14:27:17;2025-09-27T15:01:17;false;2025-09-28T07:58:25;8c2b046a-c614-464f-bdb7-e8b76ff507d0
10;interior yum;2025-09-28T04:02:00;2025-09-27T22:17:57;true;2025-09-27T11:28:02;78713818-048b-433a-a1c2-d30e130cee46
