id;name;phone_number;description;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;address_id
1;furthermore;considering anti;gadzooks arcade;false;2025-09-22T21:42:44;2025-09-23T04:07:08;false;2025-09-22T23:52:58;b3af3fad-833d-4657-9911-8b4edc5ebfc1;1
2;instead;upbeat solicit when;like;true;2025-09-22T14:38:52;2025-09-23T01:42:12;true;2025-09-23T07:09:36;fc664fc8-12a6-4be6-ac49-69f282bb5664;2
3;now;hover carefully captain;gah;true;2025-09-22T14:36:48;2025-09-23T03:42:48;true;2025-09-23T05:28:03;fa4fe237-d8c8-4b57-98e0-4ecf12eacf03;3
4;abnegate furthermore yahoo;essay dilate concrete;cosset although;true;2025-09-23T07:33:04;2025-09-23T02:47:33;true;2025-09-23T07:59:10;eb58fda9-afc5-4acd-9ff9-bd752860b5d5;4
5;ack;pish ditch faithfully;kettledrum gee because;true;2025-09-22T15:28:18;2025-09-23T13:01:03;true;2025-09-23T05:25:50;76a1a5d3-0b00-4439-a690-aa8432637900;5
6;ouch wherever per;ride;wallop but fiercely;true;2025-09-23T01:52:58;2025-09-23T07:27:27;true;2025-09-23T03:40:11;98cf77bd-f116-4d7d-b76c-5958782d7d62;6
7;off showy;analyse parade lost;fine;true;2025-09-23T05:25:10;2025-09-22T19:40:51;true;2025-09-23T01:25:15;7bdfbcd6-ecbf-4c0d-8861-76ec6804802b;7
8;reluctantly boohoo;willfully boo good-natured;cop-out aw;true;2025-09-23T08:18:42;2025-09-22T14:12:05;true;2025-09-22T17:53:24;94c183b8-277c-4c1c-9661-314a86947c9f;8
9;wherever yuck magnificent;entrench going ick;against phooey;true;2025-09-23T09:35:31;2025-09-22T20:31:50;true;2025-09-22T20:21:35;4e4fb263-bbce-4851-87a4-fe4baecd7897;9
10;abacus jubilant;huzzah furthermore;unto concerning thin;true;2025-09-23T00:20:59;2025-09-23T00:47:23;false;2025-09-23T01:06:00;fa786a49-4cd6-4309-b4ab-f508c0cb5702;10
