id;trip_code;departure_time;arrival_time;occasion_factor;created_at;updated_at;is_deleted;deleted_at;deleted_by;route_id;vehicle_id;slot_id;driver_id
1;aw never faint;2025-11-17T02:34:43;2025-11-17T10:59:09;11499.59;2025-11-17T09:09:45;2025-11-16T15:45:38;false;2025-11-17T11:23:18;9b61c4b3-9bdf-49b0-94d6-1215f464ec8f;1;1;1;1
2;midst plus;2025-11-16T19:01:19;2025-11-16T14:09:42;9402.87;2025-11-17T00:23:08;2025-11-17T02:56:27;true;2025-11-17T09:05:56;17eca7cd-08fe-4776-b0cb-1b39a64bddcb;2;2;2;2
3;mid;2025-11-16T12:09:29;2025-11-17T04:07:39;3788.61;2025-11-16T12:32:52;2025-11-16T22:15:24;false;2025-11-16T14:49:39;86987a35-278b-44b1-856e-14d496665879;3;3;3;3
4;hmph lively;2025-11-17T02:27:14;2025-11-17T07:42:53;838.66;2025-11-17T06:01:50;2025-11-17T05:10:03;true;2025-11-16T14:23:15;8df4b3b5-2d6f-4ed8-89da-5a29c4bab9bb;4;4;4;4
5;ouch absolve gently;2025-11-16T21:55:12;2025-11-16T11:56:02;31470.02;2025-11-16T21:21:42;2025-11-16T11:58:11;true;2025-11-16T13:57:24;25dfb685-63a7-4430-8af3-5aef5416d6de;5;5;5;5
6;descendant republican;2025-11-16T15:09:29;2025-11-16T17:58:46;32074.74;2025-11-16T14:05:19;2025-11-16T13:48:29;true;2025-11-16T18:44:19;108f4b01-f1cb-48cb-be37-ab98aef3fde1;6;6;6;6
7;equally misjudge;2025-11-17T07:14:21;2025-11-16T18:13:27;15753.4;2025-11-16T21:58:42;2025-11-17T11:12:41;true;2025-11-17T02:13:04;8a8b9561-75df-49d2-995d-f1ce44587f6d;7;7;7;7
8;exactly;2025-11-17T01:59:38;2025-11-16T17:21:37;24008.37;2025-11-17T08:47:02;2025-11-17T07:29:13;false;2025-11-17T03:32:22;56fa9734-12dd-44d6-8dfc-9a37e7046733;8;8;8;8
9;along;2025-11-17T05:40:52;2025-11-16T20:50:17;286.69;2025-11-16T22:14:08;2025-11-16T12:37:17;false;2025-11-17T00:06:43;13301826-0d22-4d81-b85b-624fb62a0fa9;9;9;9;9
10;colligate wrong midst;2025-11-17T04:42:54;2025-11-16T12:06:49;25614.16;2025-11-17T10:44:34;2025-11-16T14:08:57;true;2025-11-17T07:16:47;6d79789e-40e6-4e63-8001-636cd5135275;10;10;10;10
