id;seat_no;floor_no;price_factor;created_at;updated_at;is_deleted;deleted_at;deleted_by;trip_id
1;what terribly;24324;13551;2025-09-28T02:48:43;2025-09-27T13:56:57;false;2025-09-27T13:39:16;165e74cf-20ca-4c90-890f-b8b0ec775345;1
2;fail;12485;27499.44;2025-09-28T08:14:18;2025-09-27T15:29:06;true;2025-09-27T20:53:54;ce63fae8-c9d0-42cc-80f7-ef9cbcc87bd0;2
3;offensively likewise abaft;21858;28266.7;2025-09-28T02:13:43;2025-09-27T10:46:42;false;2025-09-28T07:55:54;4fcdff5d-87d8-40c4-a2a3-3c1c7dc1a3b7;3
4;towards;14903;8207.5;2025-09-28T06:17:58;2025-09-27T23:42:13;true;2025-09-28T08:01:34;7b3480f5-179e-4af3-b3ed-fcbefaa9d29f;4
5;gosh;18853;13112.52;2025-09-27T23:41:53;2025-09-28T05:44:03;true;2025-09-27T10:22:47;e6e65eba-6954-4449-9cdd-6dec75bdfcdb;5
6;regarding evince purple;25764;242.21;2025-09-27T11:58:59;2025-09-27T15:45:36;false;2025-09-28T00:32:02;b732db26-a269-4d21-b887-05721f07ee7e;6
7;supposing pepper someplace;10682;18780.08;2025-09-27T17:32:03;2025-09-27T20:35:43;true;2025-09-28T08:20:08;bccbc2ca-c426-4560-9fe7-d6976b081f5f;7
8;prime;24416;17372.32;2025-09-27T12:56:19;2025-09-28T04:14:12;false;2025-09-27T14:23:41;83073b0b-43cd-4830-a8bd-27ad239bd798;8
9;hassle;19208;19622.95;2025-09-27T21:47:01;2025-09-28T06:05:05;false;2025-09-28T05:40:52;dc4e66c4-c753-4fa9-8649-c8f9ac15ae85;9
10;onto brown sermon;6529;562.28;2025-09-28T08:10:59;2025-09-28T02:00:34;false;2025-09-27T10:55:35;8de0e5e3-2fa8-4483-b187-e14bc2c15c4a;10
