id;ward_code;name;name_en;full_name;full_name_en;code_name;administrative_unit_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;district_id
1;accept toady basic;writhing following;minus extremely bah;lest jam-packed mockingly;whether;modulo beneath;15408;2025-09-30T19:40:31;2025-09-30T10:03:50;false;2025-09-30T11:27:06;9530237b-49d4-4226-bc26-cbc5c27bf4b8;1
2;scarily;drum overburden;sense phooey;whistle meanwhile freckle;times;catch miscalculate analogy;2363;2025-10-01T04:49:31;2025-10-01T06:09:25;false;2025-09-30T09:44:52;92b682ed-c8ac-4e54-ac19-09da52821a92;2
3;which lively;obedience;in even;where as rapidly;broadly what;athwart aw;1460;2025-09-30T13:52:25;2025-09-30T22:33:50;true;2025-10-01T02:48:02;42855e88-29a9-4424-8303-975f1148782e;3
4;mispronounce;kissingly going gape;hence;tuba why needy;whereas;qua;1168;2025-09-30T18:39:24;2025-09-30T16:20:45;false;2025-09-30T06:58:06;3023af83-8be1-4af1-b5f5-775e8b20a896;4
5;provided instance;woefully;anti;that;midst eek;gad among;23310;2025-09-30T21:15:41;2025-09-30T23:29:15;true;2025-09-30T12:30:12;8583eaa3-935a-4bd7-ad75-1b6f8258178c;5
6;unconscious into which;hurtful major;dicker sternly;happily towards;imagineer monasticism rise;after;14219;2025-09-30T14:55:28;2025-09-30T15:02:56;true;2025-09-30T17:21:00;b69b1428-14c1-41b1-9b21-ddaf08861df2;6
7;jut archaeology;fatally;yet better;throughout victoriously peppery;schedule;brr;18543;2025-09-30T12:07:18;2025-09-30T19:47:24;false;2025-10-01T00:14:51;6d27c556-4572-499b-9732-f7dfee72410a;7
8;yippee;gah underpants;indeed parched encode;accompany brightly;or ugh;lovable spork;21079;2025-09-30T17:02:11;2025-09-30T11:55:49;true;2025-09-30T12:44:20;f9365603-03e2-4e5e-9411-d1512b6554db;8
9;thoroughly teriyaki;ditch properly unto;nightlife tough mid;commodity incidentally;until;doubtfully lazily;21823;2025-09-30T06:57:51;2025-09-30T23:03:26;true;2025-09-30T19:33:09;8bdc09a4-f1ae-4b23-baa5-54888d346a27;9
10;design save;woefully now;lest;helpfully wetly hm;unless;blah among nocturnal;6701;2025-09-30T19:24:00;2025-10-01T01:48:21;false;2025-09-30T12:05:36;5de2aca0-1599-477f-99dd-692923dc400f;10
