id;schedule_id;seat_number;seat_type;price;status;reserved_until;created_at;updated_at
d9b79c2d-f2aa-4798-98da-28862aa4d6f1;c3ecc5d6-d19b-4718-9188-34b1736e4725;hype carpool;ECONOMY;819.86;EXPIRED;2025-08-29T19:47:31;2025-08-29T21:32:29;2025-08-29T06:26:32
6ceb95e5-c1a9-4559-a9d3-c52108637ab6;155803f8-eb2e-4b23-a882-ce8195c7138d;but square scope;ECONOMY;30027.99;AVAILABLE;2025-08-29T15:32:15;2025-08-29T23:29:51;2025-08-29T10:49:42
5e8caa52-9165-427f-8bd3-a3a25fc656af;234ff6c1-505a-4582-ab22-c8473c5c7c7c;dally;VIP;21093.29;CANCELLED;2025-08-29T12:16:40;2025-08-29T02:55:47;2025-08-29T20:10:20
8c34b05a-e5f7-4780-a85b-c880369842c5;40aba4b2-1727-45f2-8c4c-c18e52256bde;if;BUSINESS;26321.39;AVAILABLE;2025-08-29T09:22:37;2025-08-29T22:11:56;2025-08-29T09:51:41
020c4486-40b0-4b59-b8a8-c902a3645d09;e1daa0f2-3606-4f3f-a99f-af44bd74ce14;unnecessarily out athwart;FIRST_CLASS;11306.67;EXPIRED;2025-08-29T23:53:20;2025-08-29T09:39:14;2025-08-29T10:38:54
17505336-0305-49fa-a5d2-42e45d702120;bbccb536-dd49-47ff-8241-64da6f0b6860;lest legend whenever;FIRST_CLASS;28246.78;BOOKED;2025-08-29T12:16:36;2025-08-29T10:51:52;2025-08-29T09:28:45
bdfe32b5-9440-4f18-bc64-193790619498;98ddffce-661c-4875-9fc8-9c23c4c9bcfa;given misread epic;FIRST_CLASS;24219.05;EXPIRED;2025-08-29T00:42:37;2025-08-29T05:57:01;2025-08-29T04:47:06
51967d5c-02e8-4ebf-86aa-10efb3259db1;fa350ea9-28e2-4ddc-8b09-cb2b6f42f6fc;ugh demonstrate;BUSINESS;17717.99;BOOKED;2025-08-29T04:07:46;2025-08-29T02:53:23;2025-08-29T16:25:00
1b1a6b01-367c-4211-8b2a-188621f51d4d;78be488c-d299-40b6-997c-9b6d2cd135d8;sad stool;BUSINESS;10226.13;EXPIRED;2025-08-29T12:25:13;2025-08-29T23:26:17;2025-08-29T19:28:21
aac5ba75-ff52-4af3-aaa6-f0f034d2347e;0b5b204c-d12f-4fc7-965f-759c7fb54a54;what providence sympathetically;ECONOMY;28079.72;CANCELLED;2025-08-29T16:17:19;2025-08-29T15:19:14;2025-08-29T14:24:23
