id;session_id;started_at;ended_at;is_active;context;created_at;updated_at;is_deleted;deleted_at;deleted_by;user_id
1;athwart lest;2025-11-18T11:30:44;2025-11-18T02:47:55;true;conceal;2025-11-18T02:53:04;2025-11-18T04:18:08;false;2025-11-18T17:19:52;f470d134-aa59-44b4-badd-2fd1faadd8f2;1
2;viciously elliptical as;2025-11-18T07:48:44;2025-11-18T11:21:36;true;papa untried and;2025-11-18T11:07:45;2025-11-18T16:16:12;true;2025-11-18T14:55:40;68222e3b-e220-4b10-beca-a8f2512a9f51;2
3;provided hungrily;2025-11-18T19:29:44;2025-11-18T13:15:48;false;sans;2025-11-18T13:52:05;2025-11-18T13:52:13;false;2025-11-18T14:40:23;92ffbd1d-35e0-4e22-9589-d30a9832359f;3
4;sustenance when;2025-11-18T20:52:36;2025-11-18T11:37:47;false;wry;2025-11-18T07:47:15;2025-11-18T01:44:14;true;2025-11-18T07:20:28;c0ea54ca-8111-4d2d-8e00-2d103dcf1545;4
5;fondly;2025-11-18T19:35:14;2025-11-18T01:42:28;true;failing;2025-11-18T14:04:04;2025-11-18T23:29:44;true;2025-11-18T12:29:47;d9fab0ac-8af3-4421-a957-8f05f74b46cb;5
6;smog controvert jealously;2025-11-18T05:29:29;2025-11-18T08:39:31;false;astride yahoo sizzle;2025-11-18T06:57:23;2025-11-18T06:43:16;true;2025-11-18T04:50:40;8adfd602-c5f4-49c7-bb08-6c7fba91a5c0;6
7;alongside yearningly before;2025-11-19T00:06:19;2025-11-18T14:55:12;true;rebound augment;2025-11-18T18:56:44;2025-11-18T06:03:23;false;2025-11-18T21:55:32;d3b18263-56e0-4759-9bb1-c2dcee933205;7
8;questionably pepper;2025-11-18T05:39:53;2025-11-18T10:22:57;false;simple surprisingly;2025-11-18T20:42:16;2025-11-18T06:14:30;false;2025-11-18T03:54:46;22717874-ed07-446a-8cf1-f94f917bed67;8
9;unless clean polarisation;2025-11-18T04:59:24;2025-11-18T22:45:31;true;howl scamper quash;2025-11-18T10:36:02;2025-11-18T15:04:24;false;2025-11-18T20:11:45;8bea1f45-eebc-433d-ad62-5b3441ee9218;9
10;arrogantly;2025-11-18T11:02:06;2025-11-18T04:59:54;true;concerning;2025-11-18T12:01:09;2025-11-18T06:44:22;true;2025-11-18T11:25:26;8ca53ba3-e27b-4651-96ac-445150ec7102;10
