id;origin;destination;travel_date;preferred_time;budget_range;seat_preference;recommended_trips;confidence_score;is_booked;feedback_rating;created_at;updated_at;is_deleted;deleted_at;deleted_by;user_id
1;lampoon unbearably scale;convection terrible;2025-11-18;21:00:00;gee;satirise;oh masquerade;28086.73;false;6611;2025-11-18T10:56:58;2025-11-18T07:21:12;false;2025-11-18T20:52:27;0013d66a-043e-4b18-ad3e-7af6feed397e;1
2;which uh-huh numb;statement yuck softly;2025-11-18;06:04:00;sweet;bootleg runny;brr beyond;6172.77;false;10966;2025-11-18T23:26:36;2025-11-18T15:33:39;false;2025-11-18T20:38:43;cad74d03-af5a-46d9-b335-9c400f44e99f;2
3;yippee;tomorrow oof;2025-11-18;05:24:00;monthly;stranger store;ha why next;13141.07;true;17022;2025-11-18T01:24:32;2025-11-18T13:38:11;true;2025-11-18T15:53:52;77e2af97-860a-4621-93eb-ddadbdc46ca1;3
4;till;until midst;2025-11-19;00:13:00;lest;acclaimed soap;notwithstanding woot;2039.34;true;20145;2025-11-18T08:44:48;2025-11-18T13:58:59;false;2025-11-18T19:44:24;29533cf9-07d9-493e-864b-29866f517194;4
5;how corny;until arid armchair;2025-11-18;22:46:00;gosh yowza;relieve;why encouragement coordination;888.03;true;14157;2025-11-18T06:05:41;2025-11-18T06:56:46;false;2025-11-18T21:35:18;7c625fed-1a5f-4530-9423-db99c770bfcd;5
6;toward instead;why atop;2025-11-18;15:44:00;yearly baritone beyond;quarrelsome eek;wholly;3604.35;true;940;2025-11-18T18:57:01;2025-11-18T11:26:51;true;2025-11-18T12:17:51;e8071453-bfa8-4f73-be80-7be8172e2615;6
7;brr lest;aha unto admonish;2025-11-18;04:01:00;but loyally;meanwhile;blue mobility;11677.07;true;19849;2025-11-18T16:17:21;2025-11-18T20:40:40;true;2025-11-18T15:58:59;498174a1-a8b1-435d-aeb9-ebb0c12cf646;7
8;zowie;wherever;2025-11-18;14:03:00;upon kindheartedly blank;queasily;yippee safely;2699.88;false;27000;2025-11-18T15:06:01;2025-11-18T17:14:44;true;2025-11-18T03:51:35;1e7298b3-0786-41b2-bd1c-7c491b671271;8
9;chime;where;2025-11-19;00:08:00;ouch;throughout;lobster eek reproachfully;21223.34;true;19534;2025-11-18T12:23:12;2025-11-18T06:32:43;true;2025-11-18T01:16:24;357cb5df-3597-4e58-bb83-6897d391f6d0;9
10;marksman;briefly atrium subdued;2025-11-18;06:36:00;outset while flint;but polite safely;wonderfully lest;15606.99;false;25074;2025-11-18T14:55:47;2025-11-18T21:44:28;false;2025-11-18T19:52:16;ff760fa4-cc01-4c5c-be3e-2e28f5dc8e12;10
