id;route_id;vehicle_type;occasion_type;total_bookings;total_revenue;average_price;occupancy_rate;popular_seat_types;peak_travel_times;cancellation_rate;customer_satisfaction_score;monthly_trend;valid_from;valid_to;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;11178;STANDARD_BUS_NORMAL;PEAK;32765;10356.16;28746.89;15013.43;instead what on;tightly;14908.24;27855.67;deceivingly greatly;2025-11-18;2025-11-18;2025-11-19T00:26:54;2025-11-18T07:20:07;false;2025-11-18T05:58:46;d210442a-0300-42b7-bd99-40fb26925c1c
2;9965;STANDARD_BUS_NORMAL;HOLIDAY;31006;26520.75;9752.05;28505.02;venom joyfully;questionably horse whereas;13267.45;14194.25;fooey abscond;2025-11-18;2025-11-18;2025-11-18T15:32:42;2025-11-18T01:26:33;false;2025-11-18T16:16:30;93dc4db6-9f26-460d-a2de-f938858eeb82
3;4025;STANDARD_BUS_NORMAL;HOLIDAY;11236;22940.82;27353.38;23384.66;or;where;7150.14;20804.07;stool junior;2025-11-18;2025-11-18;2025-11-19T00:20:51;2025-11-18T02:48:20;false;2025-11-18T17:44:49;95bbeae0-4062-4102-b185-2792a874bbb8
4;25003;STANDARD_BUS_NORMAL;WEEKEND;26090;15140.03;12925.82;19381.72;as;inhibit;6491.98;28588.21;plus corral sadly;2025-11-18;2025-11-18;2025-11-18T13:51:43;2025-11-19T00:16:36;false;2025-11-18T23:54:33;43984810-5e16-4fa2-96fd-cdf77ef5764d
5;25762;STANDARD_BUS_VIP;HOLIDAY;8203;23486.89;30406.87;8452.77;worthy ostrich;continually;29725.59;24284.88;meh;2025-11-18;2025-11-18;2025-11-18T22:07:21;2025-11-18T07:37:21;false;2025-11-18T19:40:58;41da3f19-bcd6-4cad-bbb2-6bc20bb8910d
6;9535;LIMOUSINE;NORMAL;20209;16982.17;3280.6;11155.29;but masterpiece hippodrome;nicely march distant;14297.09;20031.91;obedience;2025-11-18;2025-11-18;2025-11-18T03:49:45;2025-11-18T11:03:11;true;2025-11-19T01:09:44;8a38ce04-d05c-4acf-beef-426be34c885c
7;10297;LIMOUSINE;TET;31591;11858.29;13842.41;4479.1;cleverly whenever determined;furthermore faraway;22930.62;7625.04;including;2025-11-18;2025-11-18;2025-11-18T05:56:24;2025-11-18T06:42:08;true;2025-11-18T16:40:52;5239646e-27a3-43e1-a911-12f218794652
8;12377;STANDARD_BUS_NORMAL;WEEKEND;11485;100.48;4759.57;26917.37;longingly;limply ack;5561.79;20931.01;nearly during unlearn;2025-11-19;2025-11-18;2025-11-18T11:34:57;2025-11-18T05:21:02;true;2025-11-18T07:54:23;6271ff43-bb33-4607-9cf7-b40b1803afe4
9;26081;LIMOUSINE;PEAK;12124;2219.18;6249.78;7041.97;certify unlike;putrid but;1413.75;3843.32;powerfully;2025-11-18;2025-11-18;2025-11-18T01:37:50;2025-11-18T18:15:01;true;2025-11-18T19:02:02;457b48a2-12d9-481c-a606-fef1916f1a97
10;29239;LIMOUSINE;NORMAL;30735;27758.62;21325.88;29188.3;yum jaggedly;duh;1625.08;3473.88;down;2025-11-18;2025-11-18;2025-11-18T08:51:43;2025-11-18T22:07:59;true;2025-11-18T18:36:54;f424792b-4611-4ae1-a069-3374a153f169
