id;query_text;query_type;parameters;response_generated;response_time;created_at;updated_at;is_deleted;deleted_at;deleted_by;chat_session_id
1;stained;naughty hourly;until as;false;11697;2025-11-18T01:58:27;2025-11-18T11:54:08;true;2025-11-18T09:40:53;54af0999-aab7-4730-86b8-199feb789b81;1
2;arrogantly;promise;above abnormally abaft;false;32190;2025-11-18T09:46:37;2025-11-18T22:04:34;false;2025-11-18T10:07:42;0e2b601b-55ec-4a0d-8299-d78b4a29472f;2
3;minority brown;gah smuggle thunderbolt;before;false;30780;2025-11-18T09:56:41;2025-11-18T15:05:01;true;2025-11-18T17:13:33;195892d1-549d-4510-b22a-6350cd29aedc;3
4;utter;vacation;sticky disk defiantly;false;20689;2025-11-18T22:56:45;2025-11-18T11:07:56;true;2025-11-18T22:07:31;133f724c-1916-47ba-ad02-2df36c9d9e1d;4
5;before;provision beside;airport searchingly beloved;false;31022;2025-11-18T01:35:52;2025-11-18T11:03:30;false;2025-11-18T11:41:37;f0fad1f4-c23b-4c89-ab46-4ac4fcff758b;5
6;gloss;voluntarily focused eek;nor;true;13964;2025-11-19T00:37:13;2025-11-18T06:13:03;true;2025-11-18T21:52:49;aa734c7f-1b3e-42fd-bfa9-126e58701e5e;6
7;duh gleefully on;aw;because;false;1513;2025-11-18T02:24:26;2025-11-18T05:02:55;true;2025-11-18T10:30:27;cca135b3-518f-453a-983d-92eb6cb2d687;7
8;downright stable present;gee ick;anti deeply tank;true;30988;2025-11-18T02:02:12;2025-11-18T08:19:24;false;2025-11-18T23:39:32;2b2f6919-7a1f-4b9e-885e-0a35ca31996c;8
9;seal jovially;once;knowledgeably humble;true;27246;2025-11-18T19:02:59;2025-11-19T00:12:40;true;2025-11-18T12:18:10;7827b6f5-e304-4cf0-b006-7321fc43c463;9
10;wherever;midst;meh with;false;2812;2025-11-18T18:05:37;2025-11-18T04:46:47;false;2025-11-18T13:27:12;cf1105c3-c14d-4de7-b95f-5fcb2a9b5521;10
