id;total_trips;total_spent;favorite_routes;preferred_vehicle_types;average_trip_duration;last_travel_date;booking_frequency;loyalty_points;most_frequent_origin;most_frequent_destination;average_trip_distance;peak_travel_time;weekend_trips;holiday_trips;cancelled_trips;on_time_performance_rate;preferred_seat_types;monthly_trip_count;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;8855;20805.21;brr yum;including courageous;15936;2025-11-18;concerning;12737;often;acidic;993.55;hunger;30567;24389;11544;31424.23;veto plus;2921;2025-11-18T18:32:32;2025-11-18T07:12:58;false;2025-11-18T09:08:57;475a7580-5b07-439b-a56b-2e3beefd16d1
2;16885;22441.65;eek conservation annual;hmph yahoo;15514;2025-11-18;stark;3118;investigate following up;institutionalize meh;18807.54;married who;29518;29893;11125;10397.19;until bleach;15693;2025-11-18T09:58:40;2025-11-18T10:13:16;true;2025-11-18T15:00:23;744e1047-8771-44b4-87ac-e6b80251e1ad
3;2246;1017.61;under;chatter aboard haircut;11626;2025-11-18;internal amongst;13732;instead arbitrate;afore abaft thankfully;1293.84;when;12334;5312;15888;20421.91;yippee;14108;2025-11-18T20:45:07;2025-11-18T15:02:06;true;2025-11-18T08:49:25;3e65991b-6283-4b12-9d30-35f3e6928463
4;9070;14086.09;qua tighten eek;heating brightly;14835;2025-11-18;colonialism gosh even;30060;intent;solidly;16016.17;when;32725;23304;496;24985.91;outrageous;6333;2025-11-18T19:05:33;2025-11-18T19:46:52;true;2025-11-18T15:52:11;432421dd-9293-48d4-9b0f-5f112a57e37d
5;31099;21789.55;oily;yum;24158;2025-11-18;anxiously laughter;10961;ick fondly bookend;adrenalin;24555.21;pfft resolve;9391;11224;25173;24621.65;by;20519;2025-11-18T04:33:01;2025-11-18T01:18:58;false;2025-11-18T12:29:06;ab781c03-4e2f-46ee-893b-7065c99235da
6;7199;10451.81;barring wealthy;whereas;23582;2025-11-18;supposing;29285;since freezing seldom;since until;19263.88;deserted inasmuch openly;2660;28268;13301;25973.39;anenst tuber self-reliant;23679;2025-11-18T20:09:58;2025-11-18T12:30:59;true;2025-11-19T00:38:14;c55d306b-84a2-47da-b105-c92c2d2f04d2
7;209;29738.7;larva every if;neck times yawningly;15539;2025-11-18;if rightfully;28700;whereas fussy;inasmuch devil emotional;15601.85;worse uncommon likewise;17297;22265;28652;13878.19;ick near woot;4256;2025-11-18T08:12:18;2025-11-18T03:47:03;false;2025-11-18T19:29:59;c4907d5e-6027-408b-8670-fdeabc1ed97a
8;24619;17338.81;inscribe;owlishly ponder;8164;2025-11-18;aggressive;10204;afore;mortar;21865.01;whenever if deeply;30487;6999;19897;23732.54;injunction toward;26497;2025-11-18T07:29:48;2025-11-18T05:09:35;false;2025-11-18T13:47:20;fc6874bc-5bde-4eb6-9581-940926511b2b
9;29585;3877.7;ill-fated painfully;outlying;3533;2025-11-18;annex;22329;where mmm underplay;if whose except;8973.76;subexpression onto;5564;28466;4546;9255.59;as;25056;2025-11-18T22:10:56;2025-11-18T21:23:27;true;2025-11-18T18:45:08;b848ef98-c1c2-4b84-8691-551231071730
10;18846;10283.33;below;what break underpants;7737;2025-11-18;pitiful;26096;transom;inasmuch so;32664.42;thorny pave delicious;23602;25265;1479;6518.81;though once sin;24615;2025-11-18T21:34:06;2025-11-18T04:44:35;true;2025-11-18T09:29:41;230b1661-e64d-4e44-be33-9e0bf020252d
