id;recipient_id;template_type;template_language;channel;content;metadata;sent_at;delivered_at;read_at;status;booking_id
1;971c5e91-77f9-46df-875b-2fb9d174f986;beep;partial;eyeglasses accelerator dilate;../fake-data/blob/hipster.txt;weight;2025-09-14T01:49:54;2025-09-13T19:46:05;2025-09-13T23:34:26;alligator male phooey;fe5cd59c-096d-4188-86b4-640da6e18098
2;e4fe5830-5749-4224-8e92-297671f8e166;briefly upon;cemetery yippee;chasuble slump tomorrow;../fake-data/blob/hipster.txt;lid;2025-09-14T04:35:35;2025-09-14T11:06:27;2025-09-14T02:59:40;masticate necessary;c999b104-853d-4e65-a5d2-7a230d4a22e2
3;a096e7dd-31bc-4b71-88b1-d999436078d8;pleasant knowledgeably;eminent;mesh stoop;../fake-data/blob/hipster.txt;as;2025-09-13T13:25:31;2025-09-13T15:10:49;2025-09-13T20:12:04;legend hmph train;03f5e3ae-de49-48ec-a9f7-cb83bbf3eeb9
4;0c9dcc67-fb28-4a7d-ad01-b0240bc6f110;zowie swanling;pfft playfully flint;gah if;../fake-data/blob/hipster.txt;oil;2025-09-13T13:15:38;2025-09-13T16:46:47;2025-09-14T07:17:51;puppet however;291d9cff-9e52-43fd-9bab-cb8004dcc136
5;24d262c1-4340-42a4-a74f-6859af7b2304;doting;without perfectly;annex;../fake-data/blob/hipster.txt;generously who;2025-09-14T05:57:58;2025-09-13T14:56:53;2025-09-14T10:59:27;gadzooks;9e6164d2-5ab9-4d69-a026-cc459fd0822b
6;deed3912-a667-417a-bb3e-0411353c41cc;gripping that given;officially;around;../fake-data/blob/hipster.txt;mixture cool hovercraft;2025-09-13T21:16:14;2025-09-14T02:37:20;2025-09-13T15:50:39;lest lest;ee4d7997-e4d9-4df3-8281-f3cebebe17ed
7;3a6b0214-2788-4a87-9a15-7ee82aeafb59;remand tragic;exhaust;glow finer blah;../fake-data/blob/hipster.txt;consequently whether consistency;2025-09-13T17:58:15;2025-09-14T04:08:41;2025-09-13T12:48:11;faraway;80df315c-3de2-4537-8d54-f3a42b9b0b78
8;a2b9f173-5f3e-4676-a8f5-18da77ca9903;boohoo whirlwind hovel;equally genuine yowza;essential tough multicolored;../fake-data/blob/hipster.txt;rim moisten till;2025-09-13T23:31:01;2025-09-13T18:20:32;2025-09-14T01:01:53;whereas;d676b503-4ab1-448b-9738-473318efc0d4
9;2379f9b5-1fb7-4e8f-8d42-537dbbd3b68f;gadzooks instead;unless fondly;alongside illustrious;../fake-data/blob/hipster.txt;that;2025-09-14T04:51:40;2025-09-14T03:55:38;2025-09-14T04:45:48;minister;d743a653-5ed5-47ba-aa52-9eac6bcf21e2
10;7d465cfd-0e62-4e9c-8bb9-85adb2422bb5;and as under;where browse;for the safely;../fake-data/blob/hipster.txt;underneath;2025-09-14T00:58:54;2025-09-13T22:59:40;2025-09-14T11:59:43;wherever;9f380cc6-79cd-4a9d-b623-4a153c2d3bbb
