id;type;language;subject;email_body;sms_template;push_template
1;wallop;phooey yippee;supposing that;../fake-data/blob/hipster.txt;ferret;federate
2;shudder secularize pace;stealthily;offensively;../fake-data/blob/hipster.txt;covenant;fleck usually
3;toward uh-huh;responsibility;graft syringe toe;../fake-data/blob/hipster.txt;factorise statue annually;calculating round
4;although oh;the after nor;pluck worth which;../fake-data/blob/hipster.txt;inside government suddenly;factorize
5;norm;awareness devil;rout;../fake-data/blob/hipster.txt;inasmuch;lest yum
6;although;whoever remark;tensely;../fake-data/blob/hipster.txt;against;times
7;blah once dishonor;anenst morning;gosh;../fake-data/blob/hipster.txt;aching;timely chubby
8;brr underpants aha;before tenderly except;sans often;../fake-data/blob/hipster.txt;sternly aircraft even;lack each
9;obtrude so without;absent enthusiastically;forswear helpful;../fake-data/blob/hipster.txt;trial weary;qua tennis
10;vaguely;caption corner ack;distinction;../fake-data/blob/hipster.txt;blindly although diversity;tame
