id;user_id;type;provider;masked_details;is_default;expires_at
1;4c4109cb-1a78-4eaf-85f9-24c7b46da9dd;gee;nocturnal runny;antagonize provided;true;2025-09-14
2;4be21cea-c207-48d7-81d5-6f6d0ebd6007;aw within provided;worth consequently;or;false;2025-09-14
3;babcc838-478c-490b-b378-63210b0e8fff;search;ack encode enfold;boohoo hm unto;false;2025-09-14
4;ec90a6df-ef32-4c34-a115-5dc0265b259a;blah;unkempt fit;readies low;true;2025-09-13
5;cb57da2d-a9d5-4f4f-98b1-8a74df3421ad;or decision upsell;gazebo;responsibility;true;2025-09-14
6;e5e30484-cf13-433e-bb9d-652a2fd09e34;woot confused neighboring;keenly barracks;yahoo now past;true;2025-09-14
7;d2d5fa15-81a7-4d65-a2f5-26f153cb33c5;vivaciously abaft;irk;unnaturally information bleakly;true;2025-09-13
8;644731cf-8bcc-4a9c-ad59-a65e814f017e;great gleefully;agreeable;simple apostrophize;true;2025-09-13
9;019d0bb8-6e91-4f7b-a977-b9110a3d9b29;pro;positively following solemnly;duh calmly gah;false;2025-09-13
10;94299f81-40af-4bed-a89e-e07f1164af0f;discourse er;joyful grown;costume limply singing;false;2025-09-13
