id;code;name;name_en;type;province_id
1;angrily;frantically tune-up;summarise;obligation;1
2;mortise;definitive scarification;gazebo publicize when;whether swordfish happily;2
3;mooch ick thigh;unwritten partially versus;behold;amazing yum;3
4;pip masculinize circle;swiftly ah;up;ferociously ouch;4
5;pity although untidy;shout;break reckless;fooey save psst;5
6;story without;in while;cautiously who behind;brr;6
7;stoop;evenly vacantly barracks;word teriyaki;yet reluctantly through;7
8;phew;yawningly broadcast refer;reclassify;reservation next mantua;8
9;yowza;daily boo mockingly;waist;excepting showboat;9
10;search;wholly;exalt well nor;yet wire out;10
