id;name;business_license;logo_url;rating;contact_phone;contact_email;is_active
1;cycle outrank consistency;apud;silently sense bah;11857.8;ruddy ditch clueless;grubby;true
2;not;now voluntarily;beneath searchingly;13241.39;however;regarding;false
3;absentmindedly;that cellar;quash structure whoever;3759.88;gah well;spotless huzzah;true
4;fragrant instructor unearth;furthermore;sand convince;29026.65;afore fray phooey;see against;false
5;to phew;among exempt versus;gadzooks whose huzzah;14679.07;sweetly ick since;edge;true
6;unnaturally;readily attend;hassle than;15815.25;clamour;aboard so multicolored;false
7;cod instructor;apropos;incidentally blah shore;85.5;aboard;ouch;false
8;ugh unto;thankfully which huzzah;costume ah er;1583.38;partially grandiose;loyally;true
9;incomparable often bidet;underneath;council yearningly phew;19992.67;with and;psst;false
10;purple taxicab;waltz encode unto;illiterate gee crocodile;9663.34;awkwardly huzzah;if for;false
