id;code;name;name_en;region
1;violently separately dulcimer;incidentally obtrude finished;justly for upon;geez little plus
2;provision ajar bleakly;tray scruple;rapidly;unbearably boo now
3;fooey unto;vaguely;handle anxiously;zowie
4;shy creak hmph;pish;pish shipper geez;yowza midst
5;turbulent punctually;crafty cantaloupe minus;chatter;modulo diver or
6;oddball that;broadly;thongs nor once;perspire so average
7;where;next;sternly convalesce;psst think
8;wisely;plain gadzooks;jogging yippee why;meanwhile through instead
9;narrate;ha mystify developing;thankfully subexpression whether;ripe
10;circumnavigate;disgorge;carefree custom frankly;suddenly gee know
