id;code;name;name_en;address_id;facilities;operating_hours;is_active
1;furthermore;considering anti;gadzooks arcade;b59c6b3a-f3fa-4d83-b3d6-579118b4edc5;oh netsuke ack;quintuple cricket bestride;true
2;if considering;modulo yum bookcase;about;0acf67eb-1541-4686-973c-110c65c67709;dependency grubby;warming aboard;true
3;border;furthermore;stump essay dilate;12555825-590b-47e3-a416-13d04b86ceb5;helpful rotating a;emulsify avow bore;true
4;likely blah abseil;satirize;hence hm;d30b0043-9690-4aa8-9432-637900bdae4a;offensively yogurt corner;boohoo;false
5;but fiercely label;classic woot mooch;in;92eea8aa-3c65-4ebc-9054-ae80e2984da5;floodlight rarely zealous;young gah downshift;false
6;messy;kindheartedly;regarding;23fe145c-712a-479c-8855-60c90d3cf26d;hence huzzah;knottily goodwill;false
7;unhealthy;cinch thoroughly;dual gah;87876b6f-1f8f-4513-89bb-7136106800d4;hamburger;as;true
8;upright whoa snoop;jubilant;huzzah furthermore;f587929e-427e-47e5-a4f6-4fbd467c7fa7;inconsequential worth;eyeliner elegantly;false
9;how responsibility premeditation;ugh gorgeous;abaft jet;045a673c-507c-4255-8c92-8806bcaaf67c;minion furthermore woot;misread for;false
10;reservation treble;aboard kookily;beyond furthermore;80a19a0e-27df-4a6a-8911-0e63dcb0a7da;whoever ack fraternise;huzzah excepting;true
