id;departure_time;arrival_time;available_seats;total_seats;status;driver_id;route_id
1;2025-09-14T09:19:08;2025-09-13T16:45:47;12892;3545;sad;218ff7eb-c49f-45e2-aaf9-b61c4b39bdf9;1
2;2025-09-13T13:34:36;2025-09-13T19:10:05;26711;12643;disposer;ec8f58a2-545d-49a7-b2e9-2b4148a4e17e;2
3;2025-09-14T05:12:33;2025-09-13T23:50:49;26045;27013;although;cb1b39a6-4bdd-4cbd-a054-99b180a107e2;3
4;2025-09-13T22:07:04;2025-09-14T02:57:57;16532;14962;drug ew;d4966658-7937-4604-a0df-d1110a079d0c;4
5;2025-09-13T20:00:40;2025-09-13T15:32:17;18405;28277;gosh turbulent eke;bab9bb3a-5272-4deb-8405-f910eeb34046;5
6;2025-09-14T11:53:18;2025-09-13T22:30:44;384;10834;mid;563a7430-af35-4aef-8541-6d6de069fab7;6
7;2025-09-13T18:32:26;2025-09-13T16:24:49;12565;22971;before;164108f4-b01f-41cb-b8cb-e37ab98aef3f;7
8;2025-09-14T10:22:41;2025-09-13T15:17:16;32392;14860;whenever;550848d4-76f2-498a-b8b9-56175df9d295;8
9;2025-09-14T12:18:09;2025-09-13T14:22:20;25505;30378;gosh;448de3f4-393b-4edb-9a56-fa973412dd4d;9
10;2025-09-14T08:48:37;2025-09-14T11:47:31;26185;19898;yahoo laughter;38811b60-70a8-4133-9018-260d22d8185b;10
