id;plate_number;model;capacity;seat_layout;amenities;image_cover_url;average_rating;total_reviews;is_active;year_manufactured;last_maintenance_date;operator_id
1;hearten;but motionless hence;30311;cheese;longingly remark jogging;till whenever greedily;5288.66;28504;false;18556;2025-09-13;1
2;parsnip;french converse;17978;uh-huh dental;deed phew pish;hotfoot;9163.11;6511;false;29248;2025-09-13;2
3;around impressionable per;casket goose;11274;creature;axe likewise shear;but;31755.23;8614;true;470;2025-09-13;3
4;ugh;recent dazzling qua;5858;even furiously against;drat;uproot mantua lively;23353.54;10636;false;30018;2025-09-14;4
5;heartbeat bowling;midst rewrite;18588;unused;inside polite;shinny;9853.16;26843;true;19111;2025-09-14;5
6;tedious cycle yet;phew um habit;32473;between geez;nor;mathematics sometimes maul;29796.74;27520;true;24056;2025-09-13;6
7;midwife when;passport;17400;now tiny;only;since eventually;2286.06;13071;true;23085;2025-09-13;7
8;fervently;sternly blah;25081;when;unfreeze;than but detain;23157.62;21192;false;16763;2025-09-13;8
9;up while;forenenst over intend;19080;couch rotten;taxicab coolly;which phooey;16356.14;31223;true;10724;2025-09-14;9
10;arrange infamous;unblinking;12002;boo consequently yippee;achieve;very tankful;24367.84;32308;true;14873;2025-09-13;10
