id;image_url;image_type;description;is_primary;uploaded_at;vehicle_id
1;duffel deficient authentic;outbid;a confute finally;true;2025-09-13T14:03:39;1
2;now;cap;within;true;2025-09-14T10:53:06;2
3;really mmm;buttery up;complete;false;2025-09-13T22:23:10;3
4;aw fooey aw;heavily;lost;true;2025-09-14T01:18:13;4
5;ah oof;perfection oddly lightly;yet honored;false;2025-09-14T09:34:55;5
6;ick oof aw;marvelous;um;false;2025-09-14T10:56:43;6
7;dicker;because every;spectacles;true;2025-09-14T00:01:50;7
8;pushy;abnormally or ouch;decision unto;true;2025-09-14T05:25:30;8
9;zowie at accompany;whup while;but;true;2025-09-14T11:53:58;9
10;impossible;gadzooks among;productive;false;2025-09-14T03:41:43;10
