id;code;name;name_en;type;district_id
1;accept toady basic;writhing following;minus extremely bah;lest jam-packed mockingly;1
2;whether;modulo beneath;furthermore eek;yahoo jive gleaming;2
3;indeed drum overburden;sense phooey;whistle meanwhile freckle;times;3
4;catch miscalculate analogy;until;opposite eek;even;4
5;astride;maintainer supposing drat;glass;event;5
6;willfully;thongs strong yet;drug;woot;6
7;wherever;noxious;fooey;alongside;7
8;enthusiastically;slake kissingly going;colorize;rightfully tuba why;8
9;dirty;furthermore;although correctly;er;9
10;meh;rightfully muddy;polyester but athwart;oddly;10
